iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
23501,212084.13,-163.23,93.21,170.73,107.19,-56.99,-56.39,2.37,4.55,-6.65
23671,212084.13,-186.81,126.17,104.36,97.50,-62.91,-72.78,2.53,4.68,-6.57
25397,212084.13,-180.04,154.72,95.72,94.51,-69.72,-58.70,2.57,4.56,-6.64
25890,212084.13,-191.04,158.44,42.07,96.69,-88.09,-52.20,2.50,4.50,-6.24
27606,212084.13,-194.97,130.33,83.20,104.24,-63.87,-68.66,2.46,4.60,-5.23
31597,212084.13,-176.01,108.85,116.90,111.01,-56.01,-70.93,2.53,4.70,-5.18
31623,212084.13,-190.82,164.75,52.22,88.16,-81.17,-52.66,2.47,4.42,-6.84
32397,212084.13,-179.99,147.21,109.57,96.00,-71.46,-66.85,2.71,4.64,-5.65
34175,212084.13,-205.25,136.76,84.84,98.83,-64.94,-70.18,2.33,4.52,-5.28
34448,212084.13,-163.63,130.81,83.88,107.45,-71.23,-77.55,2.64,4.62,-6.34
35323,212084.13,-174.60,153.45,85.09,97.61,-75.65,-61.69,2.49,4.60,-6.32
37890,212084.13,-147.36,94.77,162.30,112.58,-57.12,-65.40,2.34,4.59,-6.47
38169,212084.13,-197.81,129.92,90.82,101.49,-66.31,-71.58,2.47,4.57,-5.52
38255,212084.13,-176.36,131.60,115.60,102.81,-69.88,-71.56,2.56,4.70,-6.52
38284,212084.13,-190.89,141.65,98.43,102.22,-61.99,-70.16,2.51,4.62,-6.23
38290,212084.13,-179.68,161.30,70.85,94.92,-85.11,-54.56,2.47,4.59,-6.80
38295,212084.13,-177.85,167.72,71.24,92.71,-83.14,-52.02,2.54,4.58,-7.00
40914,212084.13,-170.31,74.14,172.82,109.05,-57.30,-49.63,2.30,4.68,-6.83
41705,212084.16,-157.92,118.12,107.84,108.96,-70.20,-78.54,2.53,4.69,-6.75
42187,212084.13,-144.69,138.73,159.77,99.46,-71.59,-59.09,2.62,4.70,-5.80
45130,212084.13,-189.88,117.87,101.82,107.72,-67.98,-72.54,2.57,4.59,-5.67
45255,212084.13,-148.80,128.28,118.10,106.23,-73.62,-67.14,2.60,4.75,-6.58
45337,212084.13,-191.47,147.90,88.44,105.58,-69.88,-64.99,2.40,4.47,-6.30
45731,212084.13,-163.72,142.10,145.25,102.50,-67.45,-59.21,2.62,4.69,-6.09
45937,212084.13,-159.28,137.92,140.44,101.60,-67.68,-58.90,2.58,4.63,-6.17
47505,162262.90,5.58,3.76,0.32,-154.16,159.43,26.30,7.58,4.04,-1.50
48149,212084.13,-152.53,88.38,167.26,114.59,-56.94,-57.91,2.37,4.53,-6.94
49179,212084.13,-154.96,135.33,152.58,104.42,-64.14,-59.82,2.59,4.66,-6.79
51835,212084.13,-172.58,108.05,103.19,107.52,-64.49,-76.21,2.52,4.65,-5.47
54801,98643.03,5.20,-0.36,-0.74,47.25,250.17,16.41,7.90,4.04,-1.45
54926,212084.13,-186.03,112.95,135.41,109.01,-45.50,-57.69,2.48,4.83,-5.58
54952,212084.13,-176.68,108.80,127.94,107.96,-60.11,-70.37,2.45,4.79,-4.99
55268,212084.13,-203.17,119.43,113.19,99.45,-60.19,-69.09,2.52,4.61,-5.44
55639,212877.81,-207.51,121.91,89.22,99.47,-66.77,-61.70,2.37,4.62,-3.95
57968,212084.13,-169.14,103.15,140.82,116.27,-52.03,-62.33,2.48,4.86,-5.77
58017,212084.13,-162.08,87.93,164.19,114.14,-55.63,-55.08,2.35,4.58,-6.34
60319,212084.13,-175.34,83.66,163.26,110.24,-61.21,-48.23,2.32,4.73,-5.53
60638,212084.13,-177.80,89.47,154.65,110.04,-65.79,-45.42,2.35,4.82,-5.38
65050,212084.13,-144.39,51.50,211.51,110.44,-58.43,-58.05,2.14,4.67,-5.34
67634,212084.13,-193.21,118.59,90.46,102.90,-65.35,-66.89,2.56,4.64,-5.70
67641,212084.13,-173.20,162.85,65.55,94.00,-92.49,-46.41,2.59,4.53,-7.09
68233,212084.13,-183.05,167.95,57.32,91.53,-92.77,-47.49,2.58,4.51,-6.83
70648,212084.13,-185.73,119.03,81.05,98.88,-67.90,-66.93,2.55,4.64,-5.53
71119,212084.14,-182.35,149.07,26.96,90.36,-95.66,-47.12,2.71,4.62,-5.95
74188,208250.79,-6.51,3.40,-3.08,-75.32,-112.36,-24.14,5.83,6.28,-1.48
74240,213656.67,-11.65,-2.35,-2.09,30.77,-123.82,50.77,5.60,6.01,-2.23
74312,212084.14,-193.19,154.01,34.60,94.50,-84.01,-48.71,2.49,4.57,-5.45
74599,212084.13,-168.97,168.19,67.25,92.54,-93.39,-48.78,2.60,4.58,-6.01
74874,212084.13,-167.60,166.33,51.81,79.80,-91.98,-39.60,2.65,4.71,-6.03
77366,212979.63,30.73,-29.87,73.52,15.52,58.36,-102.62,5.74,3.95,-2.51
77789,212084.13,-167.55,138.40,97.01,97.67,-75.55,-73.32,2.69,4.66,-6.86
77812,212084.13,-159.63,125.65,119.39,104.88,-68.97,-69.40,2.56,4.68,-6.63
78082,212084.13,-169.76,135.90,86.33,100.93,-67.85,-73.07,2.59,4.58,-6.75
80989,214704.97,-5.67,7.80,-1.50,-187.80,-83.05,0.19,6.57,4.07,-1.54
81247,212084.14,-186.60,147.98,29.56,89.38,-89.37,-46.49,2.68,4.60,-5.34
81445,212084.13,-186.94,175.51,50.20,87.18,-89.39,-46.30,2.52,4.56,-5.76
82094,212084.13,-141.62,119.19,157.05,106.48,-59.08,-68.37,2.50,4.69,-6.79
85648,169937.66,4.84,-4.80,-0.90,181.98,92.10,-36.96,6.58,6.03,-1.39
90060,212084.13,-151.90,133.95,99.71,91.84,-86.96,-73.46,2.72,4.73,-5.13
93549,212084.13,-117.86,101.36,208.23,84.99,-56.88,-62.61,2.44,4.78,-4.90
97037,135149.80,4.98,3.33,0.81,-162.32,181.31,-35.88,7.49,4.02,-1.48
97947,212084.13,-155.67,131.29,130.20,102.75,-69.10,-63.60,2.63,4.64,-5.61
98026,212084.13,-168.58,147.47,114.30,86.80,-74.19,-73.17,2.78,4.74,-5.16
101076,205994.07,-1.94,6.61,1.78,-244.09,-80.60,-19.55,6.77,6.14,-1.48
101237,161548.69,0.79,7.41,-0.63,-212.17,39.98,95.71,7.38,4.08,-1.50
101374,212084.13,-173.37,149.10,105.07,93.32,-71.70,-72.73,2.72,4.72,-6.28
102471,212084.13,-169.75,149.58,123.91,96.45,-67.62,-54.21,2.71,4.74,-5.40
102768,212084.13,-154.44,141.09,113.10,97.40,-78.87,-65.43,2.70,4.75,-5.33
105439,212084.13,-162.19,107.34,134.89,111.10,-67.04,-73.14,2.53,4.73,-6.37
105496,212084.13,-192.37,117.36,116.72,104.34,-58.88,-67.25,2.60,4.61,-5.55
105701,212084.13,-152.10,133.13,136.07,108.21,-63.93,-59.50,2.62,4.68,-6.75
105737,212084.13,-170.28,153.01,71.83,90.01,-83.84,-55.10,2.50,4.59,-6.32
105762,212084.13,-195.53,114.58,115.63,103.25,-63.08,-69.04,2.58,4.59,-5.65
105798,212084.13,-190.95,118.95,106.86,101.51,-60.90,-71.15,2.58,4.57,-5.79
105964,212084.13,-166.40,126.78,124.36,104.40,-70.64,-69.71,2.54,4.67,-7.01
105999,212084.13,-154.06,116.24,134.08,107.76,-67.65,-67.30,2.55,4.66,-7.53
106033,212084.14,-165.75,118.82,116.85,104.56,-71.53,-72.12,2.56,4.66,-7.02
106049,212084.13,-154.29,119.44,121.11,108.29,-75.27,-71.44,2.53,4.61,-7.25
106098,212084.13,-174.66,132.81,134.90,102.68,-66.73,-70.51,2.55,4.76,-6.98
106140,212084.13,-172.32,127.79,139.64,107.01,-64.62,-63.81,2.54,4.72,-6.35
106267,212084.13,-155.88,128.13,139.82,107.03,-65.22,-63.08,2.60,4.70,-7.17
106300,212084.13,-167.53,144.74,136.71,102.41,-65.66,-59.37,2.60,4.73,-6.39
106817,212084.13,-185.94,178.76,41.87,68.06,-84.79,-31.50,2.37,4.81,-5.32
108802,107403.49,6.60,-3.77,-1.73,74.95,170.92,4.20,5.93,6.19,-1.45
108981,174448.36,-10.99,-1.92,-0.93,37.25,-146.13,21.25,5.88,5.75,-1.81
110708,212084.13,-147.53,130.29,151.12,108.53,-61.83,-66.05,2.58,4.66,-7.59
111006,212084.13,-169.33,150.96,90.10,95.83,-82.83,-61.71,2.60,4.69,-5.40
113422,213828.75,6.29,7.55,2.85,-109.07,101.03,-38.89,5.78,6.02,-2.18
113904,123803.45,-3.96,4.83,0.22,-213.70,-161.17,-19.93,7.94,5.56,-1.48
114148,212084.13,-203.50,118.07,99.90,96.99,-61.18,-65.02,2.42,4.75,-4.53
117137,212744.14,24.59,-21.15,30.83,-38.31,67.74,-121.43,5.17,5.21,-2.42
120058,213137.30,-3.03,14.30,-0.91,-154.34,5.97,1.95,5.56,5.97,-2.25
124381,212084.13,-187.29,103.34,147.10,112.10,-53.08,-47.16,2.42,4.88,-5.11
129177,212084.13,-168.12,105.41,147.28,107.74,-56.11,-61.51,2.42,4.84,-5.94
133435,212084.13,-180.43,123.99,137.51,101.30,-67.33,-65.99,2.51,4.82,-5.27
135490,212875.60,22.77,-21.57,31.45,-14.54,92.30,-131.98,5.10,4.08,-2.49
136560,212084.13,-179.65,162.00,59.65,97.00,-89.32,-44.92,2.53,4.49,-7.19
136783,212084.13,-165.29,167.19,99.08,88.54,-83.37,-55.38,2.62,4.64,-5.98
140777,212084.13,-121.03,108.52,202.96,97.94,-67.87,-54.93,2.44,4.77,-5.41
140800,212084.13,-140.85,124.31,174.05,105.54,-61.09,-63.67,2.51,4.67,-6.29
142541,173002.09,30.38,-31.01,77.92,15.44,52.47,-105.15,5.26,4.01,-2.56
147503,215135.98,-11.96,-4.22,-0.36,85.46,-138.08,7.26,5.68,5.88,-2.25
149345,83871.26,2.69,-9.11,0.31,231.49,-34.45,-23.18,6.22,4.14,-1.53
151002,212084.13,-153.07,141.30,137.03,101.51,-75.08,-60.64,2.57,4.61,-5.33
153167,212804.32,33.57,-18.79,54.65,-2.40,51.18,-136.34,5.33,4.00,-2.55
156958,67976.55,-8.93,3.61,-0.35,-8.26,-158.56,-4.75,5.98,5.83,-1.67
159888,103962.32,-0.95,6.74,0.27,-312.53,-22.44,40.64,7.69,4.03,-1.55
160277,116872.26,5.91,4.14,-0.36,-132.33,184.10,53.93,7.77,4.00,-1.49
161475,94440.28,2.05,-7.19,1.07,236.82,70.81,6.62,7.65,4.01,-1.50
165355,144469.25,5.02,1.09,0.61,-27.98,242.24,60.96,7.60,4.08,-1.42
166500,212084.13,-129.68,91.41,204.18,111.92,-61.34,-59.84,2.23,4.58,-5.18
167810,249760.17,3.46,-5.50,-0.38,267.21,93.17,15.50,7.71,4.05,-1.52
172510,238983.69,-3.62,2.92,-0.56,-127.00,-176.07,0.56,7.66,4.06,-1.44
173499,75208.82,6.11,2.56,-0.89,-76.80,213.85,-23.33,7.29,4.02,-1.47
173924,212084.13,-198.93,121.25,103.08,99.37,-59.88,-69.45,2.50,4.58,-5.09
174326,212084.13,-146.06,125.10,134.20,113.34,-75.88,-66.60,2.53,4.67,-7.10
174340,212084.13,-152.63,122.93,131.22,109.36,-67.85,-62.55,2.57,4.68,-7.01
179395,212084.13,-222.88,82.90,-105.71,73.51,-84.84,-56.13,2.22,4.80,-4.51
179643,212084.13,-189.26,105.36,-122.84,63.85,-88.10,-63.18,2.36,4.74,-5.12
181914,88083.19,-1.06,-5.96,-0.43,262.69,-74.15,-65.86,8.02,5.36,-1.46
185103,214128.73,-11.06,-4.21,-0.19,64.74,-137.67,6.26,5.73,5.74,-2.00
185747,174536.99,5.68,-0.25,0.46,33.73,259.22,31.85,8.11,3.98,-1.47
187870,135797.07,-5.30,7.16,-0.61,-160.69,-139.27,-17.76,7.12,4.05,-1.50
200299,212084.13,-172.26,113.91,147.16,101.27,-57.96,-61.31,2.43,4.79,-6.24
200359,212084.13,-177.95,116.97,136.20,103.06,-64.49,-69.39,2.48,4.80,-6.06
203283,215764.65,-0.03,6.33,0.33,-264.62,-7.29,13.60,8.10,3.97,-1.53
203703,212084.13,-157.32,118.45,163.54,106.55,-60.14,-61.53,2.27,4.94,-6.03
203717,212084.13,-156.96,105.25,137.07,107.96,-61.73,-74.84,2.52,4.71,-6.65
205844,223649.83,24.18,-8.98,24.53,-23.96,87.21,-190.41,5.49,4.00,-2.48
206663,147159.08,-2.21,6.53,1.35,-238.58,-36.74,-13.10,7.27,4.10,-1.53
206713,154797.07,5.88,3.34,0.01,-109.32,211.09,-4.98,7.95,3.98,-1.52
213958,164975.60,-10.79,7.36,-1.94,-81.36,-84.28,24.16,5.62,5.96,-2.26
214367,213042.33,31.06,-20.24,38.80,-19.15,83.78,-142.51,5.15,4.03,-2.51
216185,101161.51,6.41,11.31,0.79,-110.47,62.54,-8.39,5.74,4.09,-1.57
216540,78416.80,-0.72,6.79,-0.56,-248.64,-6.91,-1.89,7.58,4.82,-1.51
216642,144289.53,-7.81,1.32,-0.07,-34.73,-193.62,-34.80,6.36,5.73,-1.61
217287,95873.47,5.79,5.64,-0.36,-155.37,140.11,-8.61,7.30,4.03,-1.52
217392,97265.12,5.68,-2.39,1.73,53.00,208.90,-35.79,6.98,4.06,-1.45
220592,180493.46,-0.37,6.17,0.38,-227.48,44.03,26.20,7.68,5.37,-1.44
224714,133276.39,6.86,6.36,2.49,-92.15,154.80,-36.08,5.73,5.96,-2.02
227207,212084.13,-137.15,41.87,213.87,108.02,-46.25,-58.64,2.16,4.68,-4.88
228220,148283.06,4.35,-6.88,1.34,173.63,98.54,-30.48,6.31,5.78,-1.58
228275,103700.15,-8.60,-2.51,3.49,109.95,-127.05,1.06,5.77,5.94,-1.54
228674,213512.60,-0.87,-12.12,-0.56,113.44,-32.25,29.85,5.60,6.01,-2.14
229051,165593.16,4.40,-2.91,-1.77,114.23,181.20,-3.18,7.04,4.06,-1.45
230103,80638.30,-6.17,7.38,0.36,-202.69,-86.89,-4.49,6.22,5.74,-1.72
231426,212084.13,-159.28,134.67,120.86,102.85,-75.07,-65.69,2.60,4.62,-5.16
231463,212084.13,-107.70,100.78,192.67,82.33,-70.21,-63.31,2.48,4.74,-4.89
232137,74598.25,-2.56,6.01,-0.21,-244.00,-100.05,-39.91,7.39,4.07,-1.55
233975,194277.55,-10.80,3.69,0.72,-46.61,-101.51,42.47,5.74,6.01,-1.77
235078,212084.13,-124.10,74.70,211.85,96.46,-57.54,-61.97,2.25,4.72,-4.47
236153,218423.88,6.01,8.65,-0.73,-206.70,63.96,24.28,6.76,4.06,-1.62
236868,130499.11,5.03,5.42,-0.04,-110.16,176.02,-1.38,7.30,4.06,-1.50
238861,84680.61,-4.33,8.58,-0.45,-172.16,-106.89,-43.41,7.54,4.01,-1.56
239396,212084.13,-162.21,138.78,105.62,94.61,-79.12,-74.78,2.69,4.72,-4.70
250211,104477.13,4.58,3.50,0.96,-155.97,191.73,25.47,6.99,4.06,-1.50
257370,213090.56,-10.03,-5.59,-1.97,90.98,-95.44,50.99,5.58,5.91,-2.20
276545,212084.13,-154.84,111.60,154.45,107.92,-62.21,-61.30,2.40,4.69,-6.80
279520,214141.62,-9.10,4.60,1.74,-55.77,-134.46,-13.95,5.90,5.75,-1.76
281037,216852.80,5.81,2.43,0.64,-91.25,222.83,12.70,7.71,4.02,-1.59
282626,114667.50,-9.19,-4.23,-2.05,60.84,-122.54,32.26,5.91,6.09,-1.84
283053,212084.13,-155.11,135.99,125.66,111.11,-74.64,-64.50,2.62,4.65,-5.39
285610,147709.41,-7.28,2.63,1.94,-77.76,-154.31,42.00,6.18,6.24,-1.54
286193,224285.19,-1.41,6.60,0.46,-294.19,-10.85,46.34,7.35,4.06,-1.51
288118,137592.23,8.66,7.14,-3.23,-95.92,84.98,-21.43,5.58,5.90,-1.54
288697,117694.30,4.65,-6.19,2.38,136.26,107.91,-1.97,6.02,6.46,-1.42
290217,174473.06,-11.15,-4.19,2.01,77.58,-149.50,-3.73,5.86,4.04,-1.94
291454,82472.04,5.83,2.98,0.27,-95.58,256.83,22.90,7.16,4.07,-1.48
291763,127192.51,5.01,10.57,4.20,-121.84,21.04,-19.26,5.49,5.94,-2.12
292434,231007.51,8.79,-4.56,2.17,74.67,142.80,-4.59,5.87,5.86,-1.99
293455,103277.00,0.74,7.23,-0.54,-245.71,39.19,10.98,7.65,4.02,-1.53
296807,193406.78,-9.82,6.22,0.68,-33.88,-162.60,-29.78,6.17,4.05,-1.58
