iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
45255,212084.13,-125.72,115.24,107.98,83.64,-114.47,-61.43,2.74,4.99,-5.75
45337,212084.13,-167.91,138.82,77.55,120.70,-86.40,-70.61,2.52,4.59,-6.22
45486,212084.13,-171.02,120.88,128.86,112.89,-78.85,-70.26,2.55,4.67,-6.07
45535,212084.13,-160.57,127.77,143.45,115.03,-79.29,-67.70,2.51,4.64,-6.48
45661,212084.13,-132.38,150.66,137.71,89.67,-82.47,-74.43,2.63,4.96,-5.02
45731,212084.13,-139.65,132.77,137.14,113.63,-87.40,-66.82,2.60,4.68,-6.08
45748,212084.13,-159.29,146.98,135.04,115.68,-84.55,-64.32,2.56,4.69,-6.39
45937,212084.13,-135.06,127.98,131.72,115.77,-91.78,-70.11,2.59,4.65,-6.15
46003,212084.13,-146.65,137.56,142.92,113.95,-80.92,-60.62,2.55,4.66,-6.34
47338,212084.13,-183.15,59.40,186.66,103.61,-65.45,-36.31,2.28,4.86,-5.62
47505,170757.92,4.64,9.30,-0.37,-198.13,78.97,-1.83,7.35,4.03,-1.52
47797,212084.13,-160.79,56.89,198.40,114.24,-71.34,-57.11,2.34,4.66,-6.37
48149,212084.13,-126.56,81.39,160.44,114.00,-43.36,-50.51,2.60,4.85,-6.61
48998,212084.13,-179.14,124.86,123.96,111.11,-78.77,-71.74,2.59,4.66,-6.33
49179,212084.13,-130.36,126.37,143.94,109.76,-86.41,-71.44,2.66,4.72,-6.32
51520,212084.13,-165.47,104.73,167.07,113.63,-69.34,-56.65,2.39,4.75,-6.41
51835,212084.13,-147.77,99.95,90.17,127.77,-60.58,-79.27,2.81,4.92,-5.46
54801,103038.21,2.50,10.53,0.48,-187.50,21.18,-27.32,6.92,4.05,-1.54
54926,212084.13,-161.32,107.77,127.41,125.89,-67.00,-68.21,2.51,4.85,-5.51
54952,212084.13,-152.25,101.50,116.42,121.98,-64.83,-83.10,2.55,4.90,-4.99
55268,212084.13,-181.30,112.00,102.22,116.65,-76.56,-78.80,2.53,4.62,-5.41
55639,212877.81,-186.16,114.33,80.94,117.07,-70.26,-50.00,2.55,4.84,-3.97
57694,212084.13,-172.82,91.28,180.33,117.88,-72.21,-50.55,2.35,4.74,-6.08
57968,212084.14,-141.61,96.68,132.48,141.82,-63.31,-63.66,2.52,4.91,-5.64
58007,212084.13,-193.34,125.68,128.60,106.56,-73.99,-67.67,2.53,4.77,-4.53
58017,212084.13,-135.42,80.57,157.50,128.42,-54.31,-58.00,2.54,4.78,-6.28
58285,212084.13,-199.90,115.78,129.24,113.28,-60.02,-64.95,2.48,4.83,-4.25
60072,212084.13,-169.82,101.93,164.91,115.56,-72.80,-55.15,2.41,4.78,-5.73
60118,212084.13,-168.35,94.25,163.79,120.68,-74.03,-39.35,2.35,4.74,-5.36
60319,212084.13,-150.52,75.54,159.19,123.29,-58.63,-45.01,2.44,4.86,-5.54
60351,212084.13,-160.87,74.24,187.00,120.36,-71.47,-49.15,2.32,4.75,-6.49
60638,212084.13,-152.15,80.34,150.93,134.51,-67.56,-44.38,2.46,4.91,-5.35
65050,212084.13,-119.01,42.44,204.35,117.08,-65.24,-71.12,2.26,4.82,-5.30
65586,212084.13,-167.88,154.29,79.20,111.58,-95.85,-63.08,2.53,4.53,-6.28
67634,212084.13,-170.39,110.27,80.25,121.43,-73.11,-62.02,2.75,4.77,-5.51
67641,212084.13,-153.77,147.64,58.91,80.85,-118.63,-41.00,2.90,4.89,-6.77
68233,212084.13,-163.12,153.24,49.49,96.43,-113.71,-52.14,2.78,4.80,-6.28
70648,212084.13,-164.60,110.33,72.34,109.05,-76.45,-44.44,2.84,4.96,-5.33
70868,212084.13,-176.65,185.51,60.54,94.66,-96.80,-44.88,2.54,4.54,-6.60
71119,212084.14,-163.91,135.49,19.12,98.84,-99.66,-45.88,3.05,4.99,-5.64
