iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
59716,212084.13,182.42,199.01,-46.51,-93.18,-41.07,65.23,2.77,4.92,-5.33
59785,212087.31,122.46,161.03,-124.61,-111.29,-38.64,43.77,2.76,5.00,-4.91
59897,212084.13,183.48,199.35,-52.16,-90.16,-52.02,69.66,2.80,5.01,-4.87
60010,212084.13,207.08,-7.74,-77.08,-2.01,5.96,24.76,2.38,4.96,-3.23
60398,212084.13,197.12,184.18,-22.78,-101.72,-57.32,47.38,2.52,4.88,-6.30
61677,212089.54,111.07,153.08,-104.63,-94.24,-31.82,67.48,3.13,5.05,-4.98
61934,212084.13,188.57,191.71,-35.93,-74.67,-60.05,44.16,2.62,4.93,-5.76
74157,212084.13,169.30,209.62,-49.03,-108.52,-49.87,77.00,2.71,4.92,-4.83
81260,212084.13,175.89,204.84,-22.96,-104.04,-48.96,76.71,2.59,4.78,-5.20
81813,212084.13,191.03,163.99,1.95,-126.27,-52.89,37.18,2.71,5.04,-4.92
84993,212084.13,166.40,203.11,-10.66,-108.64,-54.66,82.26,2.59,4.85,-4.99
85281,212084.13,173.07,175.79,4.26,-102.88,-59.41,73.04,2.59,4.85,-4.93
85519,212084.13,204.23,185.39,-13.53,-104.02,-73.75,46.42,2.60,4.89,-5.03
88873,212084.13,189.73,171.55,0.52,-110.77,-71.95,50.33,2.71,4.85,-5.26
89177,212084.13,174.52,193.51,-44.53,-98.49,-45.96,67.89,2.74,5.01,-4.50
89400,212084.13,91.94,112.18,65.75,-77.08,-80.45,68.16,3.69,5.18,-3.38
96805,212084.13,189.41,187.41,-13.30,-115.25,-65.55,51.33,2.66,4.86,-5.55
108574,212248.93,45.87,20.52,-19.47,28.97,-35.43,80.43,5.57,3.98,-2.61
116713,213910.20,72.86,34.80,-17.04,70.72,0.78,69.36,4.15,4.32,-2.57
119360,212087.73,128.92,-150.70,56.26,-53.88,-2.71,22.64,2.76,4.98,-2.83
122496,212084.13,181.38,188.90,-17.13,-100.29,-57.02,64.44,2.57,4.96,-5.35
136406,212084.13,181.20,159.19,1.95,-110.10,-65.48,50.71,2.78,5.07,-4.86
141913,212285.33,45.45,21.05,-33.27,61.86,-5.63,37.33,4.03,4.86,-2.50
143424,212084.13,184.10,176.71,-0.12,-111.52,-75.99,64.64,2.67,4.95,-4.57
143470,212084.13,177.63,121.60,104.57,-120.31,-70.38,51.04,3.12,4.88,-4.06
143477,212084.13,194.58,173.27,-4.83,-111.49,-66.45,57.21,2.63,4.87,-5.15
144065,212084.13,195.63,111.98,107.75,-94.72,-60.67,8.24,3.12,4.57,-2.62
146993,212084.13,190.60,124.74,120.48,-94.93,-55.84,35.85,3.15,4.71,-2.76
147047,212084.13,67.54,107.74,63.96,-137.09,-50.27,43.44,3.87,5.05,-3.04
147310,212589.55,118.79,115.51,113.26,-140.83,-77.12,12.52,3.40,4.50,-2.41
150381,212084.13,115.80,79.59,106.29,-121.13,-66.52,36.10,3.19,4.81,-2.59
150404,212084.13,205.11,128.49,109.07,-94.27,-69.99,31.49,2.80,4.85,-2.95
150890,212088.26,135.65,115.18,57.46,-110.03,-80.44,29.13,3.14,4.46,-2.50
150946,235617.79,149.88,104.31,65.45,-121.96,-92.50,38.36,3.43,4.49,-2.44
150973,224713.89,107.78,113.75,65.62,-117.04,-102.30,44.53,3.72,4.90,-2.50
151160,212084.13,115.09,143.80,96.11,-85.00,-104.58,60.94,3.41,4.91,-3.42
153389,212084.13,179.87,198.06,-25.88,-95.43,-50.05,79.88,2.59,4.94,-4.69
153845,223250.72,184.75,124.40,121.11,-95.21,-57.86,23.70,3.28,4.55,-2.39
153904,212084.14,41.68,20.81,56.24,-40.28,-82.50,-10.46,4.06,4.84,-3.16
153919,212084.13,88.73,78.53,37.35,-109.47,-72.66,33.78,3.65,4.88,-2.89
153925,212084.13,84.09,122.64,65.33,-89.59,-88.82,56.16,3.70,5.10,-3.13
153954,212086.97,79.05,132.27,104.06,-105.91,-71.26,28.70,3.46,4.83,-2.73
154001,216984.70,152.07,103.90,108.63,-119.63,-68.62,-3.73,3.79,4.33,-2.36
154078,219702.02,109.78,115.93,74.35,-116.32,-113.58,49.61,3.67,4.47,-2.31
154082,214630.61,64.61,106.72,62.07,-136.50,-50.71,19.04,4.07,4.50,-2.25
154148,212084.13,115.10,130.24,106.19,-109.21,-97.31,37.93,3.64,4.92,-3.17
