iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
59716,212084.13,190.58,100.93,-103.18,-152.14,2.00,20.95,2.51,4.77,-5.23
59785,212087.31,168.56,-6.78,-123.95,-147.10,13.23,-20.50,2.63,4.96,-4.70
59897,212084.13,194.17,92.88,-100.33,-149.79,-7.06,26.86,2.51,4.81,-4.83
60010,212084.13,208.02,-4.52,85.04,-27.85,-16.63,-8.07,2.35,4.98,-3.22
60398,212084.13,193.34,111.50,-76.15,-139.53,-15.91,-1.15,2.47,4.93,-5.90
61677,212089.63,141.72,6.00,-113.31,-134.69,-6.84,10.89,3.13,4.99,-4.81
61934,212084.13,196.70,103.33,-85.24,-137.29,-7.84,15.58,2.58,4.94,-5.69
74157,212084.13,179.76,100.37,-113.17,-132.04,25.05,47.34,2.77,4.99,-4.48
81260,212084.13,171.09,123.57,-102.02,-151.42,0.84,28.28,2.55,4.75,-5.08
81813,212084.13,157.36,121.49,-59.98,-165.40,-17.69,10.02,2.59,4.96,-4.90
84993,212084.13,155.59,129.76,-98.09,-143.28,8.75,55.10,2.75,4.97,-4.82
85281,212084.13,143.72,131.45,-70.51,-153.13,-3.22,33.17,2.72,4.98,-4.87
85519,212084.13,187.73,121.59,-66.78,-159.00,-15.77,14.53,2.57,4.92,-4.90
88873,212084.13,160.69,126.25,-55.34,-168.19,-17.26,38.15,2.69,4.85,-5.07
89177,212084.13,179.91,99.55,-98.21,-144.41,11.66,33.20,2.60,4.92,-4.48
89400,212084.13,22.96,123.43,-19.03,-166.62,-71.63,56.11,3.62,5.00,-3.19
96805,212084.13,174.49,121.38,-78.79,-149.46,-7.50,16.13,2.50,4.78,-5.49
108574,212248.97,29.41,18.07,17.90,-115.55,-5.52,25.64,5.05,4.05,-2.53
116713,213910.21,75.58,42.71,15.30,-44.05,27.91,17.45,4.14,4.29,-2.56
119360,212087.73,8.49,35.18,202.94,-62.49,-9.52,-21.71,2.65,4.92,-2.83
122496,212084.13,168.09,119.27,-85.59,-157.08,-0.38,15.80,2.49,4.93,-5.20
136406,212084.13,148.40,115.97,-50.73,-153.91,-36.13,25.80,2.57,4.92,-4.80
141913,212289.61,54.92,10.93,20.45,-56.38,25.20,61.71,4.10,4.81,-2.47
143424,212084.13,152.30,128.09,-64.92,-173.45,-12.21,20.90,2.60,4.91,-4.56
143470,212084.13,80.10,178.81,-3.41,-158.27,-84.28,0.96,3.36,4.93,-3.62
143477,212084.13,168.76,121.33,-58.92,-156.37,-31.71,24.02,2.60,4.85,-5.10
144065,212084.13,114.02,182.54,22.10,-111.00,-82.22,7.63,3.03,4.69,-2.61
146993,212084.13,106.00,208.21,9.39,-116.84,-52.66,18.76,3.28,4.76,-2.69
147047,212084.13,9.54,107.14,-44.73,-94.06,-34.67,62.66,3.62,4.93,-2.66
147310,212589.55,15.70,156.99,-14.61,-182.58,-102.57,23.09,3.55,4.79,-2.48
150381,212084.13,15.12,139.23,8.89,-154.67,-105.92,7.45,3.45,4.91,-2.51
150404,212084.13,120.23,202.67,12.66,-122.32,-58.48,12.00,2.94,4.93,-2.93
150890,212088.26,73.15,124.44,-12.34,-152.71,-59.91,50.26,3.75,4.81,-2.49
150946,235617.79,64.59,124.46,-0.43,-176.06,-88.06,21.08,3.92,4.35,-2.47
150973,224713.89,31.01,120.30,-13.46,-190.93,-68.70,56.76,4.03,4.55,-2.51
151160,212084.13,48.85,161.02,-22.90,-136.73,-84.68,79.80,3.72,4.80,-3.35
153389,212084.13,174.51,121.29,-94.38,-156.14,2.05,23.21,2.38,4.80,-4.71
153845,223250.72,103.04,205.48,0.53,-110.83,-55.35,-4.38,3.24,4.72,-2.42
153904,212084.18,3.79,48.16,29.30,-37.25,-65.17,25.75,4.02,4.90,-3.08
153919,212084.13,28.86,79.07,-8.34,-114.90,-69.72,14.76,3.82,4.92,-2.84
153925,212084.13,23.47,124.04,-32.34,-153.16,-62.27,78.38,3.53,4.88,-3.13
153954,212086.97,4.89,149.04,-41.65,-143.98,-93.35,67.78,3.54,4.84,-2.73
154001,216984.70,55.01,154.38,4.77,-155.15,-98.84,16.18,3.65,4.34,-2.38
154078,219702.02,26.23,123.37,-11.30,-174.91,-92.52,54.72,4.15,4.28,-2.38
154082,214630.61,7.16,99.92,-41.77,-115.29,-54.57,62.44,4.03,4.33,-2.30
154148,212084.13,26.27,163.02,-21.47,-177.84,-87.26,60.63,3.64,4.67,-3.08
154205,151268.53,21.55,157.68,-15.61,-181.55,-101.16,46.56,3.72,4.72,-2.81
157052,212084.13,192.91,81.68,-104.21,-153.88,5.32,38.41,2.69,4.91,-4.39
157116,212084.13,109.05,202.61,-52.07,-133.44,-61.61,43.58,2.97,4.92,-3.62
157134,212084.13,96.16,187.33,7.72,-130.95,-63.76,8.67,3.17,4.98,-2.96
157380,215337.97,52.20,177.53,-20.23,-145.08,-92.75,20.69,3.55,4.48,-2.52
