iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
80351.000,212657.633,208.322,-109.717,-7.705,-31.507,15.755,-17.615,584.306,138811.406,0.005
80567.000,212170.326,47.389,-29.809,106.412,0.251,33.328,6.323,2330.500,443258.281,0.002
80692.000,212084.128,145.832,-195.018,76.596,5.233,33.539,-24.954,439.653,146151.250,0.001
80763.000,212436.783,46.485,66.910,-12.904,-63.095,-21.237,5.310,7079.624,579517.250,0.004
80807.000,212084.128,-112.304,87.558,-68.599,104.331,-31.893,0.160,1368.580,182423.000,0.000
80943.000,212084.128,-88.382,-216.578,-116.128,23.810,-0.201,0.493,166.790,207480.375,0.001
81259.000,212084.128,-68.744,55.135,-33.988,55.451,-52.896,18.178,5167.094,598181.688,0.000
81417.000,212084.128,-415.105,198.642,-310.945,14.768,-16.973,17.513,62.279,117114.805,0.000
81423.000,212084.128,3.496,151.684,-160.481,58.847,-31.974,28.186,710.986,242389.703,0.000
81638.000,212084.128,-153.929,47.944,-7.027,24.831,-41.500,21.533,578.379,306944.750,0.000
81816.000,212084.128,-347.659,213.450,-53.088,103.811,7.330,21.415,266.501,38356.301,0.000
81834.000,212084.128,-222.828,75.448,-141.925,45.450,-0.304,75.182,164.914,110673.484,0.001
82284.000,212084.128,-318.105,66.118,27.151,104.112,-20.062,35.335,500.474,94479.172,0.000
84239.000,212166.541,33.661,19.627,-38.825,-15.835,-11.567,-2.196,11479.840,729809.188,0.003
84705.000,212088.881,-87.070,17.547,-25.101,35.455,-52.346,-24.620,3937.347,614263.750,0.000
84866.000,212187.085,-27.288,59.098,-27.290,-21.699,-27.614,-31.194,11758.965,588340.938,0.003
84955.000,212084.128,-293.545,141.307,-23.090,115.840,24.547,23.846,795.123,85769.695,0.000
84968.000,212084.128,-35.493,138.716,-100.395,163.539,-65.359,46.812,2764.934,183828.906,0.000
85002.000,212193.026,-87.231,5.079,-32.335,27.747,-54.486,52.201,5229.766,657814.062,0.001
85496.000,212084.128,-24.552,135.176,-88.659,161.211,-78.355,52.615,2455.718,113244.812,0.000
85637.000,212084.128,-516.367,127.288,-75.777,69.655,47.611,48.190,222.332,48504.836,0.000
85873.000,212084.128,-494.536,128.022,-76.968,83.744,26.599,46.285,262.262,37285.598,0.000
85911.000,212084.128,-491.940,105.431,-50.327,88.200,18.855,45.725,298.201,29789.891,0.000
85921.000,212084.128,-222.781,133.072,10.267,132.959,15.554,20.228,551.269,134652.031,0.000
85931.000,212084.128,-425.187,93.337,-7.861,91.408,20.162,58.799,290.697,42648.328,0.000
85956.000,212084.128,-91.327,105.304,-85.935,126.884,-49.934,-11.922,1457.142,160620.875,0.000
87507.000,212206.041,19.833,-28.016,-9.285,-3.978,20.084,17.335,31680.319,907354.375,0.002
87662.000,213611.177,74.017,96.085,-32.038,-12.671,-51.883,39.778,3313.523,335453.281,0.005
87675.000,212108.679,-99.661,40.191,-60.172,-5.651,-3.030,32.224,2259.191,566702.062,0.000
87828.000,212089.834,-12.341,52.905,-50.473,42.889,-32.659,-20.461,8204.065,490545.250,0.003
87844.000,214869.864,9.693,-19.580,-1.801,41.450,22.257,51.049,73279.514,805905.875,0.005
87984.000,212088.604,36.604,28.643,18.080,-82.884,18.996,23.893,12836.303,752648.625,0.002
88033.000,217274.759,-340.192,339.656,-481.187,-33.455,-12.797,25.914,13.386,104539.211,0.012
88133.000,212084.128,34.311,-102.885,139.967,35.762,35.893,14.078,1045.687,355509.406,0.002
88222.000,212110.641,65.651,37.291,123.204,9.210,35.598,-5.949,1728.918,283149.062,0.003
88353.000,212120.285,-79.653,-26.424,-23.240,18.593,-87.358,34.867,3605.854,561152.062,0.001
88465.000,212418.173,-5.168,27.664,80.077,-34.343,14.105,-9.161,6039.093,623663.875,0.003
88543.000,217465.407,54.667,90.605,1.991,-77.729,-15.185,-6.108,3871.289,133890.141,0.003
88556.000,212261.181,11.992,-9.404,-88.212,37.557,-35.405,50.294,6028.287,467681.719,0.003
88614.000,212084.142,-155.363,-23.757,15.394,-39.684,-4.445,42.147,727.245,347096.438,0.000
88924.000,212084.128,-258.634,144.856,-29.900,129.981,19.982,27.505,751.955,79992.734,0.000
88942.000,212084.142,-27.745,112.294,-93.536,163.678,-66.673,50.901,3767.715,213800.469,0.000
88948.000,212084.128,-57.785,127.626,-106.665,153.544,-43.491,23.870,1602.495,157206.594,0.000
89137.000,212084.128,-133.484,157.457,-48.991,146.042,-29.382,5.091,973.876,73840.656,0.000
89196.000,212084.252,-73.691,41.119,-39.742,-6.600,-49.002,-28.393,4306.606,446141.469,0.000
89389.000,212084.556,11.139,82.110,-71.382,167.919,-84.971,98.249,23261.476,197254.141,0.003
89594.000,212084.128,-492.563,157.191,-34.231,91.150,19.396,39.388,296.129,23166.324,0.000
89602.000,212348.816,-474.994,231.184,-50.579,76.779,42.145,26.554,10750.268,20842.742,0.000
89605.000,212084.142,-90.774,117.021,-88.697,130.846,-39.777,-10.394,1469.288,141793.594,0.000
91276.000,212084.128,-22.595,-209.471,-248.508,54.680,-19.972,15.553,261.196,102354.516,0.001
91789.000,215019.685,82.775,9.441,3.140,-29.393,17.952,43.566,7491.301,424129.250,0.005
91805.000,212084.349,193.232,-122.062,-4.480,-4.030,30.492,-38.917,493.125,176771.359,0.002
91922.000,212952.081,91.185,-15.747,-1.960,-14.494,2.161,50.545,5980.485,490918.156,0.005
92085.000,212085.772,178.471,-37.165,-11.047,-16.215,32.874,-34.022,1121.854,155415.812,0.004
92190.000,212509.649,-68.071,-44.492,-6.414,46.191,-43.796,21.103,7005.538,363947.281,0.003
92561.000,212084.155,-67.112,62.797,-70.429,80.082,-42.373,14.179,4499.491,417266.000,0.002
92591.000,212085.095,18.933,48.142,-51.787,65.873,-70.513,62.627,16336.085,522743.156,0.002
