 iord metals pos rho temp vel
0 104351 4.39678692919e-39 "(-0.47233492136001587, -0.19563698768615723, 0.14318947494029999)" 0.121722631156 13021.421875 "(0.40393707156181335, -0.76817065477371216, -0.21232017874717712)"
1 1330523 1.95377353185e-10 "(-0.42369645833969116, -0.21162693202495575, 0.16300700604915619)" 0.175368875265 15225.3320312 "(0.049488674849271774, -0.56105822324752808, -0.31034356355667114)"
2 859587 4.90454462514e-44 "(-0.44239047169685364, -0.21750770509243011, 0.18445557355880737)" 0.054434645921 9122.29394531 "(0.16718567907810211, -0.46334400773048401, -0.53321069478988647)"
3 859587 4.90454462514e-44 "(-0.44239047169685364, -0.21750770509243011, 0.18445557355880737)" 0.054434645921 9122.29394531 "(0.16718567907810211, -0.46334400773048401, -0.53321069478988647)"
4 1330523 1.95377353185e-10 "(-0.42369645833969116, -0.21162693202495575, 0.16300700604915619)" 0.175368875265 15225.3320312 "(0.049488674849271774, -0.56105822324752808, -0.31034356355667114)"
5 859587 4.90454462514e-44 "(-0.44239047169685364, -0.21750770509243011, 0.18445557355880737)" 0.054434645921 9122.29394531 "(0.16718567907810211, -0.46334400773048401, -0.53321069478988647)"
6 1330523 1.95377353185e-10 "(-0.42369645833969116, -0.21162693202495575, 0.16300700604915619)" 0.175368875265 15225.3320312 "(0.049488674849271774, -0.56105822324752808, -0.31034356355667114)"
7 1330523 1.95377353185e-10 "(-0.42369645833969116, -0.21162693202495575, 0.16300700604915619)" 0.175368875265 15225.3320312 "(0.049488674849271774, -0.56105822324752808, -0.31034356355667114)"
8 859587 4.90454462514e-44 "(-0.44239047169685364, -0.21750770509243011, 0.18445557355880737)" 0.054434645921 9122.29394531 "(0.16718567907810211, -0.46334400773048401, -0.53321069478988647)"
9 208461 5.56958468678e-07 "(-0.4641304612159729, -0.21642935276031494, 0.14928928017616272)" 0.0185217317194 4753.41699219 "(0.46227070689201355, -0.44064879417419434, -0.066670149564743042)"
