 iord metals pos rho temp vel
0 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
1 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
2 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
3 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
4 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
5 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
6 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
7 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
8 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
9 104351 8.35557231044e-12 "(-0.44616162776947021, -0.24035093188285828, 0.13514435291290283)" 0.700174212456 41122.8789062 "(0.33049377799034119, -0.54003393650054932, -0.069283053278923035)"
