 iord metals pos rho temp vel
0 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
1 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
2 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
3 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
4 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
5 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
6 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
7 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
8 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
9 104351 2.66427718998e-07 "(-0.43501216173171997, -0.25527516007423401, 0.13266150653362274)" 2.05580973625 64428.8359375 "(0.41755384206771851, -0.45610818266868591, -0.10325417667627335)"
